T[ms];I[A];U[V];P[W];całka
1;30,31;3,543;107,3883;108,7111
2;30,71;3,583;110,0339;111,2316
3;30,71;3,661;112,4293;111,2316
4;30,71;3,583;110,0339;110,8192
5;31,5;3,543;111,6045;112,3568
6;32,28;3,504;113,1091;113,1726
7;32,68;3,465;113,2362;114,4477
8;32,28;3,583;115,6592;115,0136
9;32,28;3,543;114,368;115,8059
10;33,46;3,504;117,2438;116,6072
11;33,86;3,425;115,9705;117,3234
12;34,65;3,425;118,6762;117,9912
13;34,25;3,425;117,3062;118,6591
14;34,25;3,504;120,012;119,3441
15;34,65;3,425;118,6762;119,3211
16;35,43;3,386;119,966;119,9266
17;35,83;3,346;119,8872;121,3024
18;35,83;3,425;122,7177;122,0328
19;35,43;3,425;121,3478;121,3478
20;35,43;3,425;121,3478;121,9224
21;36,61;3,346;122,4971;123,1663
22;37,01;3,346;123,8355;123,8985
23;36,61;3,386;123,9615;124,6754
24;36,61;3,425;125,3892;125,3892
25;36,61;3,425;125,3892;125,2648
26;37,4;3,346;125,1404;125,8096
27;37,8;3,346;126,4788;126,5576
28;37,4;3,386;126,6364;127,3657
29;37,4;3,425;128,095;126,7054
30;37,01;3,386;125,3159;125,8051
31;38,19;3,307;126,2943;125,5496
32;38,19;3,268;124,8049;126,2943
33;38,19;3,346;127,7837;128,5475
34;38,19;3,386;129,3113;128,651
35;37,8;3,386;127,9908;126,3978
36;38,19;3,268;124,8049;125,4422
37;38,58;3,268;126,0794;127,584
38;38,58;3,346;129,0887;128,4362
39;38,19;3,346;127,7837;127,7837
40;38,19;3,346;127,7837;126,9316
41;38,58;3,268;126,0794;124,5555
42;38,58;3,189;123,0316;124,5555
43;38,58;3,268;126,0794;127,6954
44;38,19;3,386;129,3113;129,2
45;38,58;3,346;129,0887;128,3364
46;38,58;3,307;127,5841;127,4854
47;38,98;3,268;127,3866;127,3866
48;38,98;3,268;127,3866;126,733
49;38,58;3,268;126,0794;127,584
50;38,58;3,346;129,0887;128,3364
51;38,58;3,307;127,5841;127,4854
52;38,98;3,268;127,3866;127,3866
53;38,98;3,268;127,3866;126,733
54;38,58;3,268;126,0794;126,0794
55;38,58;3,268;126,0794;126,733
56;38,98;3,268;127,3866;127,2365
57;39,37;3,228;127,0864;127,0864
58;39,37;3,228;127,0864;127,2365
59;38,98;3,268;127,3866;126,733
60;38,58;3,268;126,0794;126,0794
61;38,58;3,268;126,0794;125,9534
62;38,98;3,228;125,8274;125,8274
63;38,98;3,228;125,8274;125,8274
64;38,98;3,228;125,8274;125,9534
65;38,58;3,268;126,0794;125,3078
66;38,58;3,228;124,5362;124,4217
67;38,98;3,189;124,3072;125,0673
68;38,98;3,228;125,8274;125,1818
69;38,58;3,228;124,5362;126,0602
70;38,58;3,307;127,5841;126,0602
71;38,58;3,228;124,5362;123,7839
72;38,58;3,189;123,0316;124,4295
73;38,98;3,228;125,8274;125,9534
74;38,58;3,268;126,0794;125,3078
75;38,58;3,228;124,5362;125,3078
76;38,58;3,268;126,0794;125,9534
77;38,98;3,228;125,8274;125,1818
78;38,58;3,228;124,5362;125,3078
79;38,58;3,268;126,0794;126,0794
80;38,58;3,268;126,0794;126,0794
81;38,58;3,268;126,0794;125,1933
82;38,98;3,189;124,3072;125,0673
83;38,98;3,228;125,8274;125,9534
84;38,58;3,268;126,0794;126,0794
85;38,58;3,268;126,0794;126,0794
86;38,58;3,268;126,0794;125,3078
87;38,58;3,228;124,5362;123,7839
88;38,58;3,189;123,0316;123,0316
89;38,58;3,189;123,0316;123,9182
90;38,19;3,268;124,8049;124,6706
91;38,58;3,228;124,5362;123,7839
92;38,58;3,189;123,0316;123,7839
93;38,58;3,228;124,5362;124,5362
94;38,58;3,228;124,5362;123,9067
95;38,19;3,228;123,2773;123,9067
96;38,58;3,228;124,5362;123,162
97;38,19;3,189;121,7879;123,162
98;38,58;3,228;124,5362;123,9067
99;38,19;3,228;123,2773;124,0411
100;38,19;3,268;124,8049;124,0411
101;38,19;3,228;123,2773;122,5326
102;38,19;3,189;121,7879;121,7879
103;38,19;3,189;121,7879;123,9336
104;38,58;3,268;126,0794;124,6784
105;38,19;3,228;123,2773;124,0411
106;38,19;3,268;124,8049;122,5517
107;38,19;3,15;120,2985;122,4174
108;38,58;3,228;124,5362;123,162
109;38,19;3,189;121,7879;122,5326
110;38,19;3,228;123,2773;122,5326
111;38,19;3,189;121,7879;121,7879
112;38,19;3,189;121,7879;121,6574
113;38,58;3,15;121,527;122,4022
114;38,19;3,228;123,2773;122,5326
115;38,19;3,189;121,7879;121,9032
116;37,8;3,228;122,0184;121,9032
117;38,19;3,189;121,7879;120,2794
118;38,19;3,11;118,7709;121,0241
119;38,19;3,228;123,2773;122,6478
120;37,8;3,228;122,0184;122,0184
121;37,8;3,228;122,0184;122,6478
122;38,19;3,228;123,2773;122,5326
123;38,19;3,189;121,7879;122,5326
124;38,19;3,228;123,2773;122,6478
125;37,8;3,228;122,0184;122,0184
126;37,8;3,228;122,0184;120,3946
127;38,19;3,11;118,7709;121,7879
128;38,19;3,268;124,8049;124,0411
129;38,19;3,228;123,2773;123,4038
130;37,8;3,268;123,5304;122,7744
131;37,8;3,228;122,0184;122,0184
132;37,8;3,228;122,0184;121,2813
133;37,8;3,189;120,5442;121,2813
134;37,8;3,228;122,0184;122,0184
135;37,8;3,228;122,0184;121,3728
136;37,4;3,228;120,7272;120,6357
137;37,8;3,189;120,5442;121,166
138;38,19;3,189;121,7879;121,166
139;37,8;3,189;120,5442;122,0373
140;37,8;3,268;123,5304;122,0373
141;37,8;3,189;120,5442;120,5442
142;37,8;3,189;120,5442;119,9064
143;37,4;3,189;119,2686;120,6435
144;37,8;3,228;122,0184;121,3728
145;37,4;3,228;120,7272;121,3728
146;37,8;3,228;122,0184;120,6435
147;37,4;3,189;119,2686;119,0198
148;38,19;3,11;118,7709;119,749
149;37,4;3,228;120,7272;120,7272
150;37,4;3,228;120,7272;121,4752
151;37,4;3,268;122,2232;121,4752
152;37,4;3,228;120,7272;120,6357
153;37,8;3,189;120,5442;121,2813
154;37,8;3,228;122,0184;122,1208
155;37,4;3,268;122,2232;121,4752
156;37,4;3,228;120,7272;122,1288
157;37,8;3,268;123,5304;123,5304
158;37,8;3,268;123,5304;121,3995
159;37,4;3,189;119,2686;119,9979
160;37,4;3,228;120,7272;119,9979
161;37,4;3,189;119,2686;119,2686
162;37,4;3,189;119,2686;119,9064
163;37,8;3,189;120,5442;119,8071
164;37,8;3,15;119,07;119,8986
165;37,4;3,228;120,7272;119,9979
166;37,4;3,189;119,2686;119,9979
167;37,4;3,228;120,7272;119,1426
168;37,8;3,11;117,558;119,1426
169;37,4;3,228;120,7272;120,838
170;37,01;3,268;120,9487;120,9487
171;37,01;3,268;120,9487;120,2085
172;37,01;3,228;119,4683;119,3684
173;37,4;3,189;119,2686;119,9979
174;37,4;3,228;120,7272;120,838
175;37,01;3,268;120,9487;120,9487
176;37,01;3,268;120,9487;120,1086
177;37,4;3,189;119,2686;120,7459
178;37,4;3,268;122,2232;122,2232
179;37,4;3,268;122,2232;122,2232
180;37,4;3,268;122,2232;121,586
181;37,01;3,268;120,9487;120,838
182;37,4;3,228;120,7272;120,7272
183;37,4;3,228;120,7272;120,7272
184;37,4;3,228;120,7272;120,838
185;37,01;3,268;120,9487;120,9487
186;37,01;3,268;120,9487;120,1086
187;37,4;3,189;119,2686;120,7459
188;37,4;3,268;122,2232;120,7459
189;37,4;3,189;119,2686;120,1086
190;37,01;3,268;120,9487;120,2085
191;37,01;3,228;119,4683;120,0978
192;37,4;3,228;120,7272;119,9979
193;37,4;3,189;119,2686;119,3684
194;37,01;3,228;119,4683;119,4683
195;37,01;3,228;119,4683;120,2085
196;37,01;3,268;120,9487;120,2085
197;37,01;3,228;119,4683;119,3684
198;37,4;3,189;119,2686;119,2686
199;37,4;3,189;119,2686;120,1086
200;37,01;3,268;120,9487;120,9487
201;37,01;3,268;120,9487;120,9487
202;37,01;3,268;120,9487;120,2085
203;37,01;3,228;119,4683;119,4683
204;37,01;3,228;119,4683;120,2085
205;37,01;3,268;120,9487;120,9487
206;37,01;3,268;120,9487;120,2085
207;37,01;3,228;119,4683;120,0978
208;37,4;3,228;120,7272;120,0978
209;37,01;3,228;119,4683;120,2085
210;37,01;3,268;120,9487;120,2085
211;37,01;3,228;119,4683;118,7466
212;37,01;3,189;118,0249;118,6468
213;37,4;3,189;119,2686;119,2686
214;37,4;3,189;119,2686;119,3684
215;37,01;3,228;119,4683;118,8227
216;36,61;3,228;118,1771;118,8227
217;37,01;3,228;119,4683;119,3684
218;37,4;3,189;119,2686;119,3684
219;37,01;3,228;119,4683;120,2085
220;37,01;3,268;120,9487;120,2951
221;36,61;3,268;119,6415;119,5549
222;37,01;3,228;119,4683;119,4683
223;37,01;3,228;119,4683;120,2085
224;37,01;3,268;120,9487;120,2951
225;36,61;3,268;119,6415;120,2951
226;37,01;3,268;120,9487;120,2951
227;36,61;3,268;119,6415;119,5549
228;37,01;3,228;119,4683;119,4683
229;37,01;3,228;119,4683;119,5549
230;36,61;3,268;119,6415;120,2951
231;37,01;3,268;120,9487;120,9487
232;37,01;3,268;120,9487;120,1086
233;37,4;3,189;119,2686;119,3684
234;37,01;3,228;119,4683;120,2085
235;37,01;3,268;120,9487;120,9487
236;37,01;3,268;120,9487;120,2085
237;37,01;3,228;119,4683;118,7466
238;37,01;3,189;118,0249;118,7466
239;37,01;3,228;119,4683;119,5549
240;36,61;3,268;119,6415;120,2951
241;37,01;3,268;120,9487;120,9487
242;37,01;3,268;120,9487;120,9487
243;37,01;3,268;120,9487;120,2085
244;37,01;3,228;119,4683;121,6519
245;37,01;3,346;123,8355;121,6519
246;37,01;3,228;119,4683;120,2085
247;37,01;3,268;120,9487;119,4868
248;37,01;3,189;118,0249;118,7466
249;37,01;3,228;119,4683;118,8227
250;36,61;3,228;118,1771;118,9093
251;36,61;3,268;119,6415;119,6415
252;36,61;3,268;119,6415;120,2951
253;37,01;3,268;120,9487;120,2085
254;37,01;3,228;119,4683;119,4683
255;37,01;3,228;119,4683;120,9827
256;36,61;3,346;122,4971;120,9827
257;37,01;3,228;119,4683;119,4683
258;37,01;3,228;119,4683;119,4683
259;37,01;3,228;119,4683;119,5549
260;36,61;3,268;119,6415;119,6415
261;36,61;3,268;119,6415;120,2951
262;37,01;3,268;120,9487;120,2085
263;37,01;3,228;119,4683;118,7466
264;37,01;3,189;118,0249;118,7466
265;37,01;3,228;119,4683;118,8227
266;36,61;3,228;118,1771;119,5629
267;37,01;3,268;120,9487;119,4868
268;37,01;3,189;118,0249;118,0249
269;37,01;3,189;118,0249;118,101
270;36,61;3,228;118,1771;118,9093
271;36,61;3,268;119,6415;119,5549
272;37,01;3,228;119,4683;120,2085
273;37,01;3,268;120,9487;120,9487
274;37,01;3,268;120,9487;120,9487
275;37,01;3,268;120,9487;121,7229
276;36,61;3,346;122,4971;121,0693
277;36,61;3,268;119,6415;120,2951
