T[ms];I[A];U[V];P[W]
1;30,31;3,543;107,3883
2;30,71;3,583;110,0339
3;30,71;3,661;112,4293
4;30,71;3,583;110,0339
5;31,5;3,543;111,6045
6;32,28;3,504;113,1091
7;32,68;3,465;113,2362
8;32,28;3,583;115,6592
9;32,28;3,543;114,368
10;33,46;3,504;117,2438
11;33,86;3,425;115,9705
12;34,65;3,425;118,6762
13;34,25;3,425;117,3062
14;34,25;3,504;120,012
15;34,65;3,425;118,6762
16;35,43;3,386;119,966
17;35,83;3,346;119,8872
18;35,83;3,425;122,7177
19;35,43;3,425;121,3478
20;35,43;3,425;121,3478
21;36,61;3,346;122,4971
22;37,01;3,346;123,8355
23;36,61;3,386;123,9615
24;36,61;3,425;125,3892
25;36,61;3,425;125,3892
26;37,4;3,346;125,1404
27;37,8;3,346;126,4788
28;37,4;3,386;126,6364
29;37,4;3,425;128,095
30;37,01;3,386;125,3159
31;38,19;3,307;126,2943
32;38,19;3,268;124,8049
33;38,19;3,346;127,7837
34;38,19;3,386;129,3113
35;37,8;3,386;127,9908
36;38,19;3,268;124,8049
37;38,58;3,268;126,0794
38;38,58;3,346;129,0887
39;38,19;3,346;127,7837
40;38,19;3,346;127,7837
41;38,58;3,268;126,0794
42;38,58;3,189;123,0316
43;38,58;3,268;126,0794
44;38,19;3,386;129,3113
45;38,58;3,346;129,0887
46;38,58;3,307;127,5841
47;38,98;3,268;127,3866
48;38,98;3,268;127,3866
49;38,58;3,268;126,0794
50;38,58;3,346;129,0887
51;38,58;3,307;127,5841
52;38,98;3,268;127,3866
53;38,98;3,268;127,3866
54;38,58;3,268;126,0794
55;38,58;3,268;126,0794
56;38,98;3,268;127,3866
57;39,37;3,228;127,0864
58;39,37;3,228;127,0864
59;38,98;3,268;127,3866
60;38,58;3,268;126,0794
61;38,58;3,268;126,0794
62;38,98;3,228;125,8274
63;38,98;3,228;125,8274
64;38,98;3,228;125,8274
65;38,58;3,268;126,0794
66;38,58;3,228;124,5362
67;38,98;3,189;124,3072
68;38,98;3,228;125,8274
69;38,58;3,228;124,5362
70;38,58;3,307;127,5841
71;38,58;3,228;124,5362
72;38,58;3,189;123,0316
73;38,98;3,228;125,8274
74;38,58;3,268;126,0794
75;38,58;3,228;124,5362
76;38,58;3,268;126,0794
77;38,98;3,228;125,8274
78;38,58;3,228;124,5362
79;38,58;3,268;126,0794
80;38,58;3,268;126,0794
81;38,58;3,268;126,0794
82;38,98;3,189;124,3072
83;38,98;3,228;125,8274
84;38,58;3,268;126,0794
85;38,58;3,268;126,0794
86;38,58;3,268;126,0794
87;38,58;3,228;124,5362
88;38,58;3,189;123,0316
89;38,58;3,189;123,0316
90;38,19;3,268;124,8049
91;38,58;3,228;124,5362
92;38,58;3,189;123,0316
93;38,58;3,228;124,5362
94;38,58;3,228;124,5362
95;38,19;3,228;123,2773
96;38,58;3,228;124,5362
97;38,19;3,189;121,7879
98;38,58;3,228;124,5362
99;38,19;3,228;123,2773
100;38,19;3,268;124,8049
101;38,19;3,228;123,2773
102;38,19;3,189;121,7879
103;38,19;3,189;121,7879
104;38,58;3,268;126,0794
105;38,19;3,228;123,2773
106;38,19;3,268;124,8049
107;38,19;3,15;120,2985
108;38,58;3,228;124,5362
109;38,19;3,189;121,7879
110;38,19;3,228;123,2773
111;38,19;3,189;121,7879
112;38,19;3,189;121,7879
113;38,58;3,15;121,527
114;38,19;3,228;123,2773
115;38,19;3,189;121,7879
116;37,8;3,228;122,0184
117;38,19;3,189;121,7879
